iter	RMSE
0	76.76989311
1	75.75527466
2	74.81364158
3	73.9549588
4	73.07820297
5	72.16821776
6	71.36821999
7	70.56082109
8	69.72245521
9	68.95436062
10	68.24297983
11	67.51759923
12	66.81145346
13	66.14425489
14	65.52815144
15	64.88073165
16	64.33791172
17	63.75086389
18	63.20974395
19	62.71396082
20	62.22362338
21	61.78208404
22	61.22144173
23	60.77272256
24	60.3932562
25	59.95638548
26	59.53632332
27	59.17917487
28	58.6907023
29	58.22936619
30	57.81309669
31	57.42817443
32	57.17258324
33	56.76326063
34	56.413862
35	56.04662806
36	55.72112247
37	55.41488731
38	55.1553516
39	54.84645928
40	54.52063978
41	54.20165062
42	53.95833446
43	53.67166944
44	53.42083213
45	53.18524741
46	52.89054778
47	52.71491969
48	52.51246369
49	52.31216315
50	52.16294263
51	51.91561359
52	51.6313901
53	51.37855591
54	51.21219587
55	51.02475136
56	50.7958459
57	50.63225647
58	50.46938488
59	50.27290214
60	50.06521412
61	49.90726427
62	49.7088928
63	49.49918035
64	49.32208771
65	49.17789382
66	49.02575371
67	48.87662853
68	48.73408038
69	48.60038477
70	48.46384986
71	48.30487785
72	48.17748456
73	48.01377947
74	47.85426083
75	47.69485675
76	47.58687117
77	47.42389161
78	47.29513908
79	47.16706643
80	46.96728607
81	46.85442966
82	46.76048853
83	46.5980069
84	46.49703496
85	46.31579589
86	46.1764093
87	46.01192891
88	45.90759213
89	45.70415905
90	45.62307787
91	45.44410665
92	45.33028465
93	45.22664651
94	45.11885027
95	45.00701794
96	44.90732804
97	44.82990731
98	44.71132149
99	44.62746913
100	44.54782164
101	44.45446568
102	44.2905178
103	44.2331215
104	44.16307633
105	44.07990288
106	43.97718101
107	43.86669014
108	43.77293588
109	43.65759749
110	43.53743731
111	43.42178687
112	43.27263538
113	43.15916548
114	43.10509453
115	42.99593544
116	42.9189572
117	42.78794368
118	42.73358243
119	42.66475072
120	42.54606102
121	42.45753589
122	42.34881056
123	42.27460084
124	42.19974449
125	42.07798924
126	41.98359151
127	41.88733303
128	41.81513059
129	41.75056219
130	41.6331956
131	41.58872674
132	41.47264601
133	41.43570489
134	41.36839086
135	41.35295819
136	41.26646669
137	41.12692016
138	41.03530187
139	40.938083
140	40.83000884
141	40.72841813
142	40.66913785
143	40.58470366
144	40.50708028
145	40.45414093
146	40.36281972
147	40.29479076
148	40.2383656
149	40.14183187
150	40.06351543
151	40.01953942
152	39.99840434
153	39.93618592
154	39.84843581
155	39.73813418
156	39.65760672
157	39.62344858
158	39.55379981
159	39.49252687
160	39.42317009
161	39.38223479
162	39.30881033
163	39.22057783
164	39.13716912
165	39.11924168
166	39.03955332
167	38.95131213
168	38.90510223
169	38.8698619
170	38.76907204
171	38.71074329
172	38.58168038
173	38.47372858
174	38.43677748
175	38.37828708
176	38.30754232
177	38.26411607
178	38.16712174
179	38.07249968
180	38.05179306
181	37.93497842
182	37.8350153
183	37.76548213
184	37.68582196
185	37.55832179
186	37.42546245
187	37.40153333
188	37.35654003
189	37.27988551
190	37.17373026
191	37.0917386
192	36.98768531
193	36.93473958
194	36.85609686
195	36.78204406
196	36.73824477
197	36.68880714
198	36.60779154
199	36.51945557
200	36.43913719
201	36.36130565
202	36.3233642
203	36.29238664
204	36.19693532
205	36.10452977
206	36.06512185
207	36.02930768
208	35.92930027
209	35.85401932
210	35.73449806
211	35.67452423
212	35.5702305
213	35.45815451
214	35.39616303
215	35.34705667
216	35.31641103
217	35.30221689
218	35.22019259
219	35.18706084
220	35.15223414
221	35.1144408
222	35.04580397
223	35.00737911
224	34.99689601
225	34.91349311
226	34.85224479
227	34.71827681
228	34.708069
229	34.61586926
230	34.59945536
231	34.52315085
232	34.45213601
233	34.43770341
234	34.40196493
235	34.33848922
236	34.2648958
237	34.19240621
238	34.05979207
239	33.99367928
240	33.93633398
241	33.84039377
242	33.82531747
243	33.70734058
244	33.63385103
245	33.62260772
246	33.56473163
247	33.45329429
248	33.39577042
249	33.3218832
250	33.28237738
251	33.1949668
252	33.12680498
253	33.02952587
254	32.8956135
255	32.83079749
256	32.79310647
257	32.7541666
258	32.64556441
259	32.59943552
260	32.51754527
261	32.43688695
262	32.40941569
263	32.31199908
264	32.25033543
265	32.19165344
266	32.11893351
267	32.05246018
268	31.99450961
269	31.94322306
270	31.85581055
271	31.72453604
272	31.68105208
273	31.590531
274	31.58148201
275	31.52877064
276	31.39119133
277	31.28431186
278	31.27292184
279	31.20643057
280	31.12362182
281	31.06986153
282	30.99900921
283	30.94019745
284	30.93251542
285	30.85447415
286	30.7972384
287	30.78809877
288	30.73205737
289	30.7239007
290	30.66058657
291	30.63086564
292	30.5739096
293	30.56262218
294	30.55684725
295	30.50154964
296	30.4270317
297	30.37545891
298	30.33780303
299	30.23132085
300	30.13930719
301	30.0527433
302	29.95794787
303	29.90581317
304	29.89851787
305	29.81111918
306	29.75060652
307	29.65327514
308	29.60133365
309	29.5949394
310	29.53709163
311	29.50778302
312	29.4248526
313	29.38053162
314	29.28935271
315	29.24322319
316	29.23733613
317	29.12248029
318	29.07655829
319	28.98488265
320	28.90837489
321	28.80765968
322	28.73604116
323	28.71581075
324	28.66854169
325	28.64778907
326	28.60275103
327	28.55113555
328	28.54407006
329	28.47081104
330	28.4645627
331	28.37044384
332	28.3634241
333	28.3186244
334	28.26137645
335	28.15389317
336	28.12232465
337	28.07155559
338	28.00450948
339	27.94695593
340	27.90751696
341	27.83938557
342	27.80848134
343	27.80062036
344	27.79401215
345	27.78971365
346	27.72767648
347	27.64344221
348	27.60963345
349	27.51873155
350	27.48452173
351	27.42006883
352	27.34786669
353	27.29747688
354	27.24687611
355	27.18480647
356	27.12630092
357	27.08226918
358	27.06912525
359	27.02690385
360	26.99521412
361	26.98903723
362	26.94657681
363	26.90444332
364	26.86826301
365	26.86185476
366	26.81440056
367	26.80931788
368	26.76188103
369	26.75711701
370	26.70432049
371	26.63780255
372	26.55143004
373	26.44601304
374	26.43984242
375	26.38529387
376	26.3344798
377	26.32727068
378	26.29899901
379	26.2476501
380	26.19181082
381	26.11546536
382	26.10876697
383	26.10407158
384	26.03189934
385	25.97511314
386	25.93795258
387	25.92872433
388	25.87512759
389	25.83004387
390	25.75985704
391	25.73327178
392	25.68943347
393	25.68404529
394	25.66723542
395	25.66136451
396	25.60400622
397	25.57136187
398	25.51460955
399	25.48363633
400	25.43110682
401	25.36921979
402	25.34800675
403	25.30529657
404	25.25191107
405	25.24606026
406	25.21447286
407	25.13473744
408	25.02847194
409	24.97523596
410	24.92608881
411	24.87660661
412	24.8719284
413	24.79760668
414	24.74918298
415	24.73333818
416	24.67097699
417	24.62719142
418	24.59754264
419	24.56467812
420	24.52547331
421	24.48704359
422	24.48328833
423	24.42144986
424	24.41785346
425	24.41201275
426	24.35471342
427	24.34061636
428	24.27358377
429	24.17519465
430	24.13772764
431	24.13049144
432	24.12235797
433	24.08600401
434	24.04668886
435	23.99197422
436	23.94579318
437	23.88150829
438	23.87812243
439	23.82592521
440	23.79269537
441	23.74078564
442	23.73209385
443	23.69156473
444	23.67921718
445	23.62100723
446	23.61612969
447	23.54963918
448	23.53280282
449	23.46399524
450	23.40920921
451	23.34527661
452	23.3140723
453	23.22490146
454	23.17443932
455	23.16995843
456	23.13020889
457	23.02941264
458	22.98407236
459	22.93580591
460	22.89685732
461	22.8930427
462	22.83315531
463	22.78102772
464	22.7759205
465	22.77201097
466	22.70244787
467	22.69950101
468	22.66190107
469	22.60814887
470	22.59275007
471	22.5346437
472	22.47791364
473	22.42767055
474	22.41998132
475	22.38763302
476	22.35285812
477	22.34903923
478	22.30314228
479	22.30079438
480	22.25424922
481	22.22093728
482	22.2123723
483	22.14821898
484	22.13396361
485	22.06313951
486	22.05885998
487	22.03477806
488	22.02771055
489	22.01396319
490	21.97315262
491	21.94362877
492	21.89562498
493	21.81936084
494	21.81672838
495	21.77662209
496	21.74985276
497	21.73032416
498	21.68496825
499	21.64273102
500	21.55285444
501	21.50543158
502	21.47601293
503	21.4490218
504	21.42650262
505	21.39025478
506	21.35408892
507	21.31983023
508	21.27401706
509	21.23459571
510	21.18722091
511	21.16951533
512	21.15224717
513	21.1497867
514	21.10157348
515	21.03853207
516	20.9991473
517	20.97037461
518	20.92221847
519	20.89998911
520	20.85548037
521	20.81281657
522	20.79117054
523	20.74606149
524	20.70551462
525	20.65794278
526	20.63588009
527	20.58762421
528	20.56633725
529	20.5187919
530	20.45783266
531	20.38283387
532	20.36330393
533	20.33585571
534	20.32154431
535	20.31236398
536	20.29150676
537	20.23659664
538	20.2115139
539	20.20548153
540	20.15908831
541	20.15478424
542	20.12797824
543	20.12370815
544	20.05697925
545	20.03299403
546	19.98961291
547	19.93985457
548	19.85958351
549	19.84096631
550	19.8053021
551	19.74546565
552	19.69804105
553	19.66269354
554	19.62668649
555	19.58987949
556	19.57514027
557	19.57319828
558	19.53710563
559	19.5048042
560	19.50125707
561	19.48322234
562	19.46008647
563	19.4384968
564	19.4361093
565	19.4110086
566	19.36994144
567	19.3500309
568	19.2982027
569	19.22854776
570	19.21070738
571	19.18940028
572	19.1858983
573	19.1385056
574	19.11603859
575	19.09883081
576	19.07837847
577	19.02310232
578	19.00365966
579	18.97995491
580	18.97117493
581	18.94436144
582	18.91914901
583	18.87510813
584	18.8293391
585	18.79656947
586	18.78199617
587	18.73044071
588	18.69268581
589	18.65109878
590	18.63654208
591	18.60161545
592	18.5842759
593	18.54014109
594	18.53732887
595	18.50867952
596	18.44931934
597	18.40631249
598	18.35205462
599	18.31800033
600	18.30413237
601	18.27223371
602	18.2287353
603	18.1832568
604	18.18050318
605	18.15205443
606	18.1354692
607	18.12641069
608	18.10261881
609	18.05499899
610	18.00377414
611	17.96043702
612	17.92852755
613	17.92137255
614	17.90669081
615	17.90306337
616	17.89002875
617	17.88292795
618	17.83889848
619	17.7928862
620	17.7466362
621	17.71044341
622	17.66613588
623	17.65011474
624	17.63969627
625	17.61020576
626	17.6078614
627	17.56309629
628	17.55227325
629	17.5429766
630	17.52972012
631	17.52537535
632	17.47153239
633	17.43285382
634	17.41975515
635	17.36869767
636	17.34558647
637	17.29643988
638	17.27235224
639	17.2310604
640	17.17939668
641	17.15652876
642	17.13174634
643	17.11187146
644	17.07358895
645	17.0529158
646	17.03293576
647	16.9940748
648	16.95213662
649	16.95000901
650	16.93982882
651	16.92697847
652	16.92519868
653	16.88650753
654	16.83362568
655	16.77457228
656	16.74530177
657	16.71325475
658	16.66886114
659	16.63360924
660	16.62242052
661	16.60472006
662	16.57447765
663	16.52053936
664	16.48416405
665	16.47185652
666	16.45066288
667	16.4434901
668	16.43904339
669	16.40331468
670	16.39141684
671	16.38831326
672	16.36198823
673	16.31873501
674	16.30713184
675	16.27996164
676	16.25430522
677	16.22473651
678	16.22246385
679	16.17316741
680	16.17145378
681	16.16139709
682	16.11474477
683	16.06965328
684	16.02379662
685	16.0150106
686	15.9803812
687	15.9782292
688	15.93500172
689	15.91654262
690	15.91475526
691	15.9021542
692	15.86860864
693	15.86685703
694	15.81375136
695	15.80341645
696	15.75430752
697	15.72270084
698	15.69287941
699	15.65119027
700	15.6321406
701	15.60433604
702	15.59528704
703	15.5905096
704	15.58368388
705	15.56527545
706	15.52824939
707	15.48693072
708	15.46445093
709	15.4380354
710	15.42700004
711	15.41897902
712	15.41785049
713	15.39239311
714	15.34787565
715	15.30821016
716	15.29686837
717	15.28190674
718	15.27088153
719	15.24260815
720	15.20100809
721	15.1757935
